Police_Station	LongitudeY	LatitudeX
MIDRAND	-25.99321	28.12012
MILNERTON	-33.87562	18.50175
MITCHELLS PLAIN	-34.04761	18.62321
MKHUZE	-27.62258	32.03108
MLUNGISI	-31.91098	26.8652555
MMABATHO	-25.8383	25.6069
MMAKAU	-25.6174	27.94101
MMAMETLAKE	-25.10504	28.5431
MODDER RIVER	-29.03196	24.62926
MODIMOLLE	-24.70692	28.40881
MODJADJISKLOOF	-23.69563	30.14385
MOFFATVIEW	-26.24153	28.088771
MOGWADI	-23.36789	29.32768
MOGWASE	-25.27102	27.23673
MOKOPANE	-24.18398	29.01583
MOKOPONG	-25.36555	22.97807
MOLTENO	-31.39491	26.36142
MONDEOR	-26.27615	28.01003
MONDLO	-27.97384	30.69569
MONTAGU	-33.7846	20.12967
MONTCLAIR	-29.91872	30.97392
MOOI RIVER	-29.21221	29.99216
MOOIFONTEIN	-26.25351	25.60272
MOOINOOI	-25.75948	27.55002
MOOIPLAAS	-32.7383	28.05225
MOORREESBURG	-33.15359	18.66466
MOREBENG	-23.49402	29.92797
MORGENZON TRANSVAAL	-26.73369	29.61297
MOROKA	-26.2681	27.8755
MOROKWENG	-26.13677	23.77682
MOSSEL BAY	-34.18145	22.14066
MOTETEMA	-25.0989	29.4644
MOTHERWELL	-33.79664	25.58419
MOTHIBISTAD	-27.39776	23.49068
MOTHUTLUNG	-25.59975	27.8873
MOTSWEDI	-25.27729	25.88558
MOUNT AYLIFF	-30.81069	29.36962
MOUNT FLETCHER	-30.69057	28.50988
MOUNT FRERE	-30.9068	28.99125
MOUNT ROAD	-33.95494	25.59516
MOUNTAIN RISE	-29.5818	30.40203
MOWBRAY	-33.95012	18.47228
MOYENI	-33.48006	27.13021
MPHEPHU	-22.8985	30.03913
MPISI	-31.14658	29.93013
MPOPHOMENI	-29.56264	30.18046
MPUMALANGA KZN	-29.81428	30.63633
MPUNGAMHLOPHE	-28.27376	31.25359
MQANDULI	-31.81916	28.76291
MSINGA	-28.74896	30.44199
MSINSINI	-30.49365	30.51874
MSOBOMVU	-32.32437	28.186
MTHATHA	-31.58173	28.77164
MTONTSASA	-31.20766	29.7024
MTUBATUBA	-28.41957	32.18481
MTUNZINI	-28.95414	31.75453
MUDEN	-28.97467	30.36748
MUIZENBERG	-34.10872	18.46663
MULDERSDRIFT	-26.03846	27.85052
MURRAYSBURG	-31.96489	23.76155
MUSINA	-22.34331	30.04396
MUTALE	-22.73445	30.52317
MZAMBA	-31.07529	30.18437
NABABEEP	-29.58775	17.7859
NABOOMSPRUIT	-24.51843	28.71265
